Sr.No.,Company Name,Sector,Weightage,thehindu_searchstring
1,Reliance Industries Ltd.,Petroleum Products,14.93%,reliance%20petroleum
2,HDFC Bank Ltd.,Banks,9.69%,hdfc%20bank
3,Infosys Limited,Software,7.63%,infosys
4,Housing Development Fin. Corp. Ltd.,Finance,6.44%,hdfc
5,Tata Consultancy Services Ltd.,Software,5.41%,tcs
6,ICICI Bank Ltd.,Banks,5.06%,ICICI%20BANK
7,Kotak Mahindra Bank Limited,Banks,3.84%,kotak%20bank
8,Hindustan Unilever Ltd.,Consumer Non Durables,3.82%,hul
9,ITC Ltd.,Consumer Non Durables,3.10%,itc
10,Larsen and Toubro Ltd.,Construction Project,2.28%,larsen%20toubro
11,Axis Bank Ltd.,Banks,2.18%,axis%20bank
12,Bharti Airtel Ltd.,Telecom - Services,2.09%,airtel
13,Asian Paints Limited,Consumer Non Durables,1.85%,asian%20paints
14,Maruti Suzuki India Limited,Auto,1.85%,maruti
15,HCL Technologies Ltd.,Software,1.82%,hcl
16,Bajaj Finance Ltd.,Finance,1.80%,bajaj%20finance
17,State Bank of India,Banks,1.47%,sbi
18,Dr Reddys Laboratories Ltd.,Pharmaceuticals,1.30%,reddy
19,Mahindra & Mahindra Ltd.,Auto,1.20%,mahindra
20,Nestle India Ltd.,Consumer Non Durables,1.17%,nestle
21,Sun Pharmaceutical Industries Ltd.,Pharmaceuticals,1.12%,sun%20pharma
22,Titan Company Ltd.,Consumer Durables,1.04%,titan
23,Tech Mahindra Ltd.,Software,1.01%,tech%20mahindra
24,UltraTech Cement Limited,Cement,0.97%,ultratech
25,Wipro Ltd.,Software,0.96%,wipro
26,Britannia Industries Ltd.,Consumer Non Durables,0.93%,britannia
27,HDFC Life Insurance Company Limited,Finance,0.91%,hdfc%20insurance
28,Power Grid Corporation of India Ltd.,Power,0.86%,powergrid
29,NTPC Limited,Power,0.85%,ntpc
30,Hero MotoCorp Ltd.,Auto,0.84%,hero%20motocorp
31,Cipla Ltd.,Pharmaceuticals,0.81%,cipla
32,Divis Laboratories Ltd.,Pharmaceuticals,0.80%,divis
33,Bajaj Auto Limited,Auto,0.78%,bajaj%20auto
34,Bajaj Finserv Ltd.,Finance,0.73%,bajaj%20finserv
35,SBI Life Insurance Company Ltd.,Finance,0.65%,sbi%20insurance
36,Eicher Motors Ltd.,Auto,0.63%,eicher
37,Indusind Bank Ltd.,Banks,0.62%,indusind
38,Grasim Industries Ltd.,Cement,0.61%,grasim
39,Bharat Petroleum Corporation Ltd.,Petroleum Products,0.59%,bpcl
40,JSW Steel Ltd.,Ferrous Metals,0.57%,jsw
41,UPL Ltd.,Pesticides,0.57%,upl
42,Shree Cement Ltd.,Cement,0.56%,shree%20cement
43,Tata Steel Ltd.,Ferrous Metals,0.56%,tata%20steel
44,Hindalco Industries Ltd.,Non - Ferrous Metals,0.53%,hindalco
45,Adani Ports & Special Economic Zone,Transportation,0.52%,adani
46,Oil & Natural Gas Corporation Ltd.,Oil,0.52%,ongc
47,Coal India Ltd.,Minerals/Mining,0.50%,coal%20india
48,Tata Motors Ltd.,Auto,0.49%,tata%20motors
49,Indian Oil Corporation Ltd.,Petroleum Products,0.39%,ioc
50,GAIL (India) Ltd.,Gas,0.33%,gail
