Sr.No.,Company Name,Sector,Weightage,thehindu_searchstring,mcontrol_substring,ticker,yfin_ticker
1,Reliance Industries Ltd.,Petroleum Products,14.93%,reliance%20petroleum,RI,RELIANCE,RELIANCE
2,HDFC Bank Ltd.,Banks,9.69%,hdfc%20bank,HDF01,HDFCBANK,HDFCBANK
3,Infosys Limited,Software,7.63%,infosys,IT,INFY,INFY
4,Housing Development Fin. Corp. Ltd.,Finance,6.44%,hdfc,HDF,HDFC,HDFC
5,Tata Consultancy Services Ltd.,Software,5.41%,tcs,TCS,TCS,TCS
6,ICICI Bank Ltd.,Banks,5.06%,ICICI%20BANK,ICI02,ICICIBANK,ICICIBANK
7,Kotak Mahindra Bank Limited,Banks,3.84%,kotak%20bank,KMF,KOTAKBANK,KOTAKBANK
8,Hindustan Unilever Ltd.,Consumer Non Durables,3.82%,hul,HL,HINDUNILVR,HINDUNILVR
9,ITC Ltd.,Consumer Non Durables,3.10%,itc,ITC,ITC,ITC
10,Larsen and Toubro Ltd.,Construction Project,2.28%,larsen%20toubro,LT,LT,LT
11,Axis Bank Ltd.,Banks,2.18%,axis%20bank,UTI10,AXISBANK,AXISBANK
12,Bharti Airtel Ltd.,Telecom - Services,2.09%,airtel,BTV,BHARTIARTL,BHARTIARTL
13,Asian Paints Limited,Consumer Non Durables,1.85%,asian%20paints,API,ASIANPAINT,ASIANPAINT
14,Maruti Suzuki India Limited,Auto,1.85%,maruti,MU01,MARUTI,MARUTI
15,HCL Technologies Ltd.,Software,1.82%,hcl,HCL02,HCLTECH,HCLTECH
16,Bajaj Finance Ltd.,Finance,1.80%,bajaj%20finance,BAF,BAJFINANCE,BAJFINANCE
17,State Bank of India,Banks,1.47%,sbi,SBI,SBIN,SBIN
18,Dr Reddys Laboratories Ltd.,Pharmaceuticals,1.30%,reddy,DRL,DRREDDY,DRREDDY
19,Mahindra & Mahindra Ltd.,Auto,1.20%,mahindra,MM,M&M,M%26M
20,Nestle India Ltd.,Consumer Non Durables,1.17%,nestle,NI,NESTLEIND,NESTLEIND
21,Sun Pharmaceutical Industries Ltd.,Pharmaceuticals,1.12%,sun%20pharma,SPI,SUNPHARMA,SUNPHARMA
22,Titan Company Ltd.,Consumer Durables,1.04%,titan,TI01,TITAN,TITAN
23,Tech Mahindra Ltd.,Software,1.01%,tech%20mahindra,TM4,TECHM,TECHM
24,UltraTech Cement Limited,Cement,0.97%,ultratech,UTC,ULTRACEMCO,ULTRACEMCO
25,Wipro Ltd.,Software,0.96%,wipro,W,WIPRO,WIPRO
26,Britannia Industries Ltd.,Consumer Non Durables,0.93%,britannia,BI,BRITANNIA,BRITANNIA
27,HDFC Life Insurance Company Limited,Finance,0.91%,hdfc%20insurance,HSL01,HDFCLIFE,HDFCLIFE
28,Power Grid Corporation of India Ltd.,Power,0.86%,powergrid,PGC,POWERGRID,POWERGRID
29,NTPC Limited,Power,0.85%,ntpc,NTP,NTPC,NTPC
30,Hero MotoCorp Ltd.,Auto,0.84%,hero%20motocorp,HHM,HEROMOTOCO,HEROMOTOCO
31,Cipla Ltd.,Pharmaceuticals,0.81%,cipla,C,CIPLA,CIPLA
32,Divis Laboratories Ltd.,Pharmaceuticals,0.80%,divis,DL03,DIVISLAB,DIVISLAB
33,Bajaj Auto Limited,Auto,0.78%,bajaj%20auto,BA06,BAJAJ-AUTO,BAJAJ-AUTO
34,Bajaj Finserv Ltd.,Finance,0.73%,bajaj%20finserv,BF04,BAJAJFINSV,BAJAJFINSV
35,SBI Life Insurance Company Ltd.,Finance,0.65%,sbi%20insurance,SLI03,SBILIFE,SBILIFE
36,Eicher Motors Ltd.,Auto,0.63%,eicher,EM,EICHERMOT,EICHERMOT
37,Indusind Bank Ltd.,Banks,0.62%,indusind,IIB,INDUSINDBK,INDUSINDBK
38,Grasim Industries Ltd.,Cement,0.61%,grasim,GI01,GRASIM,GRASIM
39,Bharat Petroleum Corporation Ltd.,Petroleum Products,0.59%,bpcl,BPC,BPCL,BPCL
40,JSW Steel Ltd.,Ferrous Metals,0.57%,jsw,JVS,JSWSTEEL,JSWSTEEL
41,UPL Ltd.,Pesticides,0.57%,upl,SI10,UPL,UPL
42,Shree Cement Ltd.,Cement,0.56%,shree%20cement,SC12,SHREECEM,SHREECEM
43,Tata Steel Ltd.,Ferrous Metals,0.56%,tata%20steel,TIS,TATASTEEL,TATASTEEL
44,Hindalco Industries Ltd.,Non - Ferrous Metals,0.53%,hindalco,H,HINDALCO,HINDALCO
45,Adani Ports & Special Economic Zone,Transportation,0.52%,adani,MPS,ADANIPORTS,ADANIPORTS
46,Oil & Natural Gas Corporation Ltd.,Oil,0.52%,ongc,ONG,ONGC,ONGC
47,Coal India Ltd.,Minerals/Mining,0.50%,coal%20india,CI29,COALINDIA,COALINDIA
48,Tata Motors Ltd.,Auto,0.49%,tata%20motors,TEL,TATAMOTORS,TATAMOTORS
49,Indian Oil Corporation Ltd.,Petroleum Products,0.39%,ioc,IOC,IOC,IOC
50,GAIL (India) Ltd.,Gas,0.33%,gail,GAI,GAIL,GAIL
